Rule,Antecedent Support,Consequent Support,Support,Confidence,Lift,Conviction
"{l,b,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,o} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {m,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{m,o} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,m,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {l,b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,b} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {y,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,o,S} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y,S} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,o} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,o} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S} --- > {b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,o} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {l,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b,l,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y} --- > {l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {y,l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,o,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,o} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,m} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,m} --- > {b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
